,name,salary,link,url
0,Веб-дизайнер,60 000 — 75 000 руб./месяц,https://www.superjob.ru/vakansii/veb-dizajner-35539195.html,https://www.superjob.ru/vacancy/search/
1,Цифровой дизайнер / Графический дизайнер,65 000 — 80 000 руб./месяц,https://www.superjob.ru/vakansii/cifrovoj-dizajner-36268779.html,https://www.superjob.ru/vacancy/search/
2,Начинающий специалист / Младший Гейм дизайнер (Junior Game Designer),,https://hh.ru/vacancy/42802709?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
3,Game Designer,до 50 000 руб.,https://hh.ru/vacancy/41527242?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
4,"Руководитель отдела дизайна уровней (левел-дизайнер match-3, дизайнер уровней)",,https://hh.ru/vacancy/36958641?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
5,Дизайнер игр/Game Designer,,https://hh.ru/vacancy/42204764?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
6,Гейм-дизайнер (social casino проекты),,https://hh.ru/vacancy/40735878?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
7,Game Designer (Features),,https://hh.ru/vacancy/41697256?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
8,Game Designer,,https://hh.ru/vacancy/42813471?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
9,Гейм-дизайнер / Game balance designer,,https://hh.ru/vacancy/41670135?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
10,Гейм-дизайнер / Game balance designer,,https://hh.ru/vacancy/41670136?query=%D0%93%D0%B5%D0%B9%D0%BC%20%D0%94%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80,https://hh.ru/search/vacancy
